Appelation,Parker,Robinson,Suckling,Prix
Haut-Médoc,None,None,91.0,14.75
Haut-Médoc,90.0,90.0,None,21.25
Haut-Médoc,None,None,None,13.0
Saint-Estèphe,93.0,93.0,93.0,54.08
Pessac-Léognan,90.0,90.0,90.0,33.0
Pessac-Léognan,89.0,89.0,89.0,36.0
Haut-Médoc,89.0,89.0,89.0,24.58
Haut-Médoc,92.0,92.0,92.0,60.0
Margaux,92.0,92.0,92.0,59.0
Moulis,92.0,92.0,92.0,38.0
Haut-Médoc,None,None,None,13.92
Pauillac,97.0,97.0,97.0,283.0
Saint-Emilion,95.0,95.0,95.0,99.0
Haut-Médoc,92.0,92.0,92.0,30.0
Pomerol,88.0,88.0,88.0,85.0
Pessac-Léognan,90.0,90.0,90.0,30.33
Haut-Médoc,89.0,89.0,None,17.25
Haut-Médoc,93.0,93.0,93.0,51.67
Haut-Médoc,89.0,89.0,89.0,23.0
Pessac-Léognan,86.0,None,86.0,29.0
Haut-Médoc,92.0,92.0,92.0,63.0
Saint-Estèphe,91.0,None,91.0,25.0
Pomerol,94.0,94.0,94.0,89.5
Margaux,93.0,93.0,93.0,50.0
Pessac-Léognan,93.0,93.0,93.0,43.0
Pessac-Léognan,93.0,93.0,93.0,55.83
Saint-Estèphe,92.0,92.0,92.0,46.0
Saint-Estèphe,93.0,93.0,93.0,57.0
Margaux,92.0,92.0,92.0,79.0
Pessac-Léognan,88.0,88.0,88.0,24.5
Pessac-Léognan,93.0,93.0,93.0,37.5
Listrac,90.0,90.0,90.0,17.5
Pomerol,87.0,None,None,40.75
Pessac-Léognan,91.0,None,91.0,28.08
Saint-Estèphe,90.0,90.0,90.0,30.0
Saint-Julien,93.0,93.0,93.0,54.92
Pessac-Léognan,96.0,96.0,96.0,105.0
Moulis,89.0,89.0,89.0,26.0
Pessac-Léognan,None,16.0,16.0,28.75
Pessac-Léognan,92.0,92.0,92.0,43.5
Haut-Médoc,86.0,86.0,86.0,38.92
Pessac-Léognan,97.0,97.0,97.0,102.0
Pessac-Léognan,90.0,90.0,90.0,46.67
Haut-Médoc,88.0,88.0,None,19.08
Pessac-Léognan,89.0,89.0,89.0,34.0
Pessac-Léognan,92.0,92.0,92.0,55.0
Pomerol,92.0,92.0,92.0,36.0
Pauillac,96.0,96.0,96.0,93.0
Pessac-Léognan,92.0,92.0,92.0,53.0
Saint-Estèphe,92.0,92.0,92.0,51.67
Saint-Julien,95.0,95.0,95.0,62.0
Margaux,96.0,96.0,96.0,134.0
Margaux,87.0,None,87.0,25.92
Saint-Emilion,97.0,97.0,97.0,185.0
Pauillac,93.0,93.0,93.0,55.0
Pauillac,89.0,89.0,89.0,55.0
Saint-Estèphe,97.0,97.0,97.0,240.0
Pauillac,90.0,None,None,37.42
Saint-Estèphe,90.0,90.0,90.0,50.83
Sauternes,90.0,None,90.0,26.0
Pessac-Léognan,92.0,92.0,92.0,27.58
Pessac-Léognan,89.0,None,89.0,23.0
Sauternes,None,16.0,None,29.5
Pauillac,96.0,96.0,96.0,170.0
Pauillac,90.0,90.0,90.0,41.0
Saint-Julien,None,15.5,15.5,28.5
Saint-Estèphe,90.0,90.0,90.0,39.0
Haut-Médoc,84.0,84.0,84.0,19.0
Pessac-Léognan,96.0,96.0,96.0,155.0
Haut-Médoc,89.0,89.0,89.0,29.0
Haut-Médoc,86.0,86.0,86.0,32.0
Saint-Emilion,93.0,93.0,93.0,92.0
Saint-Emilion,90.0,90.0,90.0,33.92
Margaux,88.0,88.0,88.0,63.42
Pessac-Léognan,92.0,92.0,92.0,40.0
Pessac-Léognan,94.0,94.0,94.0,84.0
Margaux,95.0,95.0,95.0,80.08
Margaux,91.0,91.0,91.0,57.0
Haut-Médoc,91.0,91.0,91.0,33.5
Saint-Julien,93.0,93.0,93.0,78.0
Pauillac,87.0,87.0,None,30.5
Saint-Estèphe,90.0,90.0,90.0,26.3
Margaux,89.0,89.0,89.0,27.0
Moulis,89.0,89.0,89.0,37.42
Graves,89.0,89.0,89.0,16.5
Saint-Estèphe,98.0,98.0,98.0,229.0
Pomerol,90.0,90.0,90.0,49.0
Saint-Emilion,85.0,85.0,85.0,36.42
Margaux,91.0,91.0,91.0,41.0
Margaux,91.0,91.0,91.0,46.0
Saint-Emilion,96.0,96.0,96.0,115.0
Saint-Emilion,91.0,91.0,91.0,48.0
Lalande de Pomerol,87.0,None,87.0,20.0
Lalande de Pomerol,90.0,90.0,90.0,29.0
Margaux,93.0,93.0,93.0,84.0
Pauillac,93.0,93.0,93.0,52.0
Pauillac,93.0,93.0,93.0,149.0
Saint-Emilion,91.0,91.0,91.0,39.0
Pessac-Léognan,95.0,95.0,95.0,99.0
Pauillac,None,None,93.0,35.0
Haut-Médoc,None,None,None,20.83
Saint-Estèphe,97.0,97.0,97.0,280.0
Pessac-Léognan,91.0,91.0,91.0,44.5
Saint-Estèphe,86.0,86.0,86.0,30.0
Pessac-Léognan,91.0,91.0,91.0,42.0
Pomerol,98.0,98.0,98.0,295.0
Saint-Emilion,98.0,98.0,98.0,850.0
Pauillac,89.0,89.0,None,33.5
Saint-Emilion,97.0,97.0,97.0,330.0
Saint-Julien,91.0,91.0,91.0,53.0
Margaux,90.0,90.0,90.0,43.0
Margaux,90.0,90.0,90.0,54.0
Lalande de Pomerol,90.0,90.0,90.0,32.0
Sauternes,87.0,87.0,None,47.0
Graves,89.0,89.0,89.0,22.0
Pauillac,89.0,89.0,None,35.0
Haut-Médoc,88.0,88.0,88.0,25.0
Haut-Médoc,86.0,None,86.0,20.0
Saint-Julien,92.0,92.0,92.0,60.0
Saint-Emilion,90.0,90.0,90.0,39.0
Sauternes,98.0,98.0,None,447.0
Bordeaux Blancs Secs,89.0,89.0,89.0,14.0
Pomerol,93.0,93.0,93.0,96.67
Pauillac,93.0,93.0,93.0,299.0
Sauternes,95.0,95.0,95.0,63.0
Pessac-Léognan,90.0,90.0,90.0,48.0
Saint-Emilion,93.0,93.0,93.0,46.83
Moulis,92.0,92.0,92.0,44.17
Pessac-Léognan,90.0,90.0,90.0,33.83
Pomerol,87.0,87.0,87.0,37.5
Pauillac,93.0,93.0,93.0,61.0
Saint-Emilion,95.0,95.0,95.0,168.5
Margaux,87.0,87.0,87.0,75.0
Saint-Estèphe,None,15.5,15.5,23.0
Saint-Estèphe,90.0,90.0,90.0,35.0
Pomerol,93.0,93.0,93.0,83.0
Margaux,100.0,100.0,100.0,975.0
Haut-Médoc,85.0,85.0,85.0,32.0
Saint-Emilion,96.0,96.0,96.0,180.0
Saint-Julien,98.0,98.0,98.0,366.0
Saint-Emilion,96.0,96.0,96.0,149.0
Pauillac,90.0,90.0,90.0,40.67
Francs Côtes de Bordeaux,88.0,88.0,88.0,25.5
Saint-Julien,95.0,95.0,95.0,58.0
Pomerol,90.0,90.0,90.0,47.83
Saint-Estèphe,99.0,99.0,99.0,368.0
Saint-Emilion,89.0,89.0,89.0,49.0
Pessac-Léognan,95.0,95.0,95.0,275.0
Saint-Estèphe,91.0,None,91.0,24.42
Pessac-Léognan,96.0,96.0,96.0,179.0
Pessac-Léognan,88.0,None,88.0,31.5
Saint-Emilion,92.0,92.0,92.0,46.0
Pomerol,91.0,None,91.0,43.25
Saint-Julien,94.0,94.0,94.0,113.0
Margaux,92.0,92.0,92.0,109.0
Margaux,94.0,94.0,94.0,69.0
Saint-Emilion,93.0,93.0,93.0,69.0
Saint-Julien,95.0,95.0,95.0,310.0
Saint-Estèphe,90.0,90.0,90.0,34.0
Barsac,94.0,94.0,94.0,79.0
Pessac-Léognan,96.0,96.0,96.0,199.0
Saint-Emilion,93.0,93.0,93.0,44.0
Pauillac,94.0,94.0,94.0,49.0
Saint-Emilion,87.0,87.0,87.0,43.0
Saint-Julien,97.0,97.0,97.0,389.0
Saint-Julien,93.0,93.0,93.0,49.0
Pomerol,92.0,92.0,92.0,40.0
Pauillac,94.0,94.0,94.0,115.5
Saint-Julien,94.0,94.0,94.0,58.0
Barsac,95.0,95.0,95.0,47.0
Pomerol,None,None,90.0,33.83
Pomerol,91.0,91.0,91.0,34.0
Sauternes,100.0,100.0,100.0,625.0
Lalande de Pomerol,90.0,90.0,90.0,30.0
Haut-Médoc,None,None,87.0,14.0
Moulis,89.0,89.0,89.0,42.08
Saint-Julien,91.0,91.0,91.0,41.0
Pomerol,88.0,None,88.0,42.92
Haut-Médoc,87.0,87.0,87.0,64.5
Haut-Médoc,90.0,90.0,90.0,105.0
Haut-Médoc,88.0,None,88.0,20.0
Margaux,92.0,92.0,92.0,46.0
Saint-Julien,92.0,92.0,92.0,47.0
Haut-Médoc,91.0,91.0,91.0,42.0
Lalande de Pomerol,92.0,92.0,92.0,40.83
Haut-Médoc,92.0,92.0,92.0,39.0
Moulis,93.0,93.0,93.0,33.0
Margaux,90.0,90.0,90.0,38.0
Pauillac,92.0,92.0,92.0,49.0
Saint-Estèphe,92.0,92.0,92.0,52.0
Listrac,83.5,83.5,83.5,16.0
Saint-Estèphe,89.0,89.0,89.0,54.58
Saint-Estèphe,90.0,90.0,90.0,40.0
Margaux,91.0,91.0,91.0,55.0
Pessac-Léognan,92.0,92.0,92.0,35.33
Haut-Médoc,92.0,92.0,92.0,34.0
Saint-Julien,91.0,91.0,91.0,82.0
Pauillac,90.0,90.0,90.0,48.0
Haut-Médoc,88.0,None,None,12.17
Saint-Emilion,93.0,93.0,93.0,61.0
Pessac-Léognan,91.0,None,91.0,31.0
Saint-Julien,94.0,94.0,94.0,88.42
Bordeaux,88.0,None,88.0,10.92
Saint-Emilion,None,16.0,16.0,36.0
Saint-Emilion,91.0,91.0,91.0,33.0
Saint-Estèphe,91.0,91.0,91.0,41.92
Margaux,95.0,95.0,95.0,70.0
Pessac-Léognan,87.5,87.5,87.5,28.0
Saint-Emilion,92.0,92.0,92.0,65.0
Listrac,85.0,85.0,85.0,14.0
Moulis,89.0,89.0,89.0,28.0
Graves,None,15.5,15.5,16.0
Saint-Julien,93.0,93.0,93.0,71.0
Pauillac,89.0,89.0,89.0,42.0
Saint-Emilion,92.0,92.0,92.0,81.67
Sauternes,94.0,94.0,94.0,365.0
Margaux,90.0,90.0,90.0,36.0
Haut-Médoc,93.0,93.0,93.0,52.0
Haut-Médoc,89.0,None,None,11.0
Saint-Estèphe,None,15.5,15.5,23.5
Saint-Estèphe,94.0,None,94.0,49.0
Margaux,87.0,87.0,87.0,31.0
Pomerol,87.0,87.0,87.0,59.0
Pauillac,88.0,88.0,88.0,40.0
Margaux,91.0,91.0,91.0,38.0
Pomerol,89.0,None,89.0,32.0
Saint-Emilion,89.0,89.0,89.0,42.92
Moulis,91.0,91.0,91.0,32.0
Saint-Julien,90.0,90.0,None,25.5
Saint-Julien,90.5,None,90.5,27.0
Moulis,86.0,86.0,86.0,35.0
Saint-Emilion,88.0,88.0,88.0,31.0
Moulis,90.0,90.0,90.0,34.92
Pomerol,92.0,92.0,92.0,92.0
Margaux,90.0,90.0,90.0,24.92
Margaux,None,None,89.0,32.5
Saint-Emilion,None,16.0,16.0,28.0
Saint-Estèphe,92.0,92.0,92.0,36.0
Pessac-Léognan,90.0,90.0,90.0,36.42
Castillon Côtes de Bordeaux,88.0,88.0,88.0,28.5
Saint-Estèphe,92.0,92.0,92.0,48.0
Pessac-Léognan,92.0,92.0,92.0,37.0
Saint-Estèphe,89.0,89.0,89.0,19.0
Moulis,87.0,87.0,87.0,28.5
Margaux,92.0,92.0,92.0,60.0
Pomerol,90.0,None,90.0,42.0
Margaux,88.0,None,None,24.0
Saint-Emilion,89.0,89.0,89.0,42.0
Moulis,88.0,88.0,None,25.0
Pessac-Léognan,91.0,91.0,91.0,25.0
Margaux,89.0,89.0,89.0,58.25
Pomerol,88.0,88.0,88.0,34.0
Haut-Médoc,94.0,94.0,94.0,47.83
